id,enabled,installdat,type,elevation,watertype,jointtype,material,diameter1,diameter2,rotation,modelid,comment,status,mfg,megalugmfg,megalugmdl,fitangle,surveyelev,globalid,creator,creationda,editdate,editor,newt,northing,easting,icon_url
"4101",Yes,,Saddle,5187.414,Potable,Other,Other,"8","1","0",FIT3833,,Active,,,,,,f7635db2-ab23-4c83-9095-78118f91c024,lkoons,2019/02/13,2019/02/13,lkoons,,1465872.60957105,3165172.71854939,./0.png
"4102",Yes,2007/05/11,Coupling,4943.128,Potable,Gasket,PVC,"4","4","0",FIT3834,,Active,,,,,,b6a0d3c4-4e0c-4472-ab29-3908fda2b978,lkoons,2019/02/13,2019/02/13,lkoons,,1471659.65442739,3229506.82380481,./0.png
"4103",Yes,2007/05/11,Coupling,4943.077,Potable,Gasket,PVC,"4","4","0",FIT3835,,Active,,,,,,b7ea80e2-dc95-46f0-8bf2-4a7a4ea75c3c,lkoons,2019/02/13,2019/02/13,lkoons,,1471659.60947998,3229509.81822139,./0.png
"4104",Yes,,Tee,0,Potable,Mechanical,DuctileIron,"6","6","270",FIT3836,,Active,,,,,,25bbab5e-5cc4-408c-b0c5-e9e488489f12,lkoons,2019/02/13,2019/02/13,lkoons,,1413560.86511339,3270806.90294988,./0.png
"4105",Yes,,Bend,4757.371,Potable,Other,PVC,"2.5","2.5","0",FIT3837,,Retired,,,,"90",,89ae7297-cde8-4553-998c-143989b2fa8c,lkoons,2019/02/13,2019/02/13,lkoons,,1419004.04615614,3207614.79967555,./0.png
"4106",Yes,2007/05/01,Saddle,4733.716,Potable,Other,Steel,"8","1","0",FIT3838,,Active,,,,,,8ef99f58-1212-43b4-85d7-d8c9401b3a47,lkoons,2019/02/13,2019/02/13,lkoons,,1413442.7570819,3192933.01604706,./0.png
"4107",Yes,2007/05/01,Saddle,4800.204,Potable,Other,Other,"6","1","0",FIT3839,,Active,,,,,,d18bf0b4-b7f4-4979-a46f-bac34ee7d587,lkoons,2019/02/13,2019/02/13,lkoons,,1424051.40810864,3267574.22207931,./0.png
"4108",Yes,2007/05/01,Saddle,5112.514,Potable,Other,Other,"8","1","0",FIT3840,,Active,,,,,,3d36c457-17a8-43e5-9dd4-a2bda7573cdb,lkoons,2019/02/13,2019/02/13,lkoons,,1465918.08749847,3167438.58803339,./0.png
"4109",Yes,,Bend,4663.756,Potable,Flange,PVC,"2","2","0",FIT3841,,Active,,,,"90",,292199b7-3867-4016-aef8-9d3ec719ff35,lkoons,2019/02/13,2019/02/13,lkoons,,1409802.23942856,3249945.87839906,./0.png
"4110",Yes,,Tee,0,Potable,Mechanical,DuctileIron,"4","4","180",FIT3842,,Active,,,,,,4e874d47-4958-4af5-bbcb-b6a1feb39f23,lkoons,2019/02/13,2019/02/13,lkoons,,1429505.78269856,3204125.60849123,./0.png
"4111",Yes,,Bend,0,Potable,Mechanical,DuctileIron,"4","4","0",FIT3843,,Active,,,,"90",,918677f8-25f0-4243-9ac8-cfc9ef7e283d,lkoons,2019/02/13,2019/02/13,lkoons,,1429483.14527665,3204125.84274273,./0.png
"4112",Yes,,Bend,0,Potable,Mechanical,DuctileIron,"4","4","0",FIT3844,,Active,,,,"90",,84a99774-4d03-4977-b086-08d608adde66,lkoons,2019/02/13,2019/02/13,lkoons,,1429483.14527665,3204109.00616223,./0.png
"4113",Yes,2007/05/01,Saddle,4879.624,Potable,Other,Other,"4","1","0",FIT3845,,Active,,Ford,,,,3a80add3-72ec-4eef-a0f4-2ec883235f8e,lkoons,2019/02/13,2019/02/13,lkoons,,1424239.37984556,3183916.65054964,./0.png
"4114",Yes,,Tee,4659.032,Potable,Other,Other,"2","2","0",FIT3846,,Active,,,,,,8069abbe-e434-4167-a8a0-7688f11826ec,lkoons,2019/02/13,2019/02/13,lkoons,,1407928.42231005,3249967.66411664,./0.png
"4115",Yes,,Tee,4659.518,Potable,Other,Other,"2","2","180",FIT3847,,Active,,,,,,2e16cf14-18be-44e3-9ab9-166884e88fb8,lkoons,2019/02/13,2019/02/13,lkoons,,1407928.43838614,3249968.5191018,./0.png
"4116",Yes,,Tee,0,Potable,Mechanical,PVC,"2","3","0",FIT3848,,Retired,,,,,,0f78d48c-d841-4dc2-aab2-c862d5089a18,lkoons,2019/02/13,2019/02/13,lkoons,,1405263.86333473,3250021.80803722,./0.png
"4117",Yes,,Tee,0,Potable,Mechanical,DuctileIron,"8","3","270",FIT3849,,Active,,,,,,c25f957e-fbc8-4804-94e3-c0c48e358d3e,lkoons,2019/02/13,2019/02/13,lkoons,,1437039.53239481,3207099.07957838,./0.png
