id,enabled,installdat,type,elevation,watertype,diameter,rotation,tracerwire,modelid,comment,status,openleft,curopen,turnsclose,mfg,megalugmfg,megalugmdl,surveyelev,globalid,creationda,creator,editdate,editor,newt,northing,easting,icon_url
"893",Yes,,Gate,4851.93,Potable,"2","90",No,V626,,Retired,Yes,No,"8",,,,,a7f56f55-6c11-4d2b-a79f-93d64bb9e4ca,2019/02/13,lkoons,2019/02/13,lkoons,,3262504.19219314,1434595.65014347,./0.png
"894",Yes,,Gate,4848.48,Potable,"4","0",No,V627,,Active,Yes,Yes,"15",,,,,bb0b9d2b-f5f1-4915-835a-2c811672ddcf,2019/02/13,lkoons,2019/02/13,lkoons,,3265290.7049928,1434611.76001939,./0.png
"895",Yes,,Gate,4846.77,Potable,"6","0",No,V628,,Retired,Yes,Yes,"20",,,,,0b818d07-af9d-4837-a516-b35169254edd,2019/02/13,lkoons,2019/02/13,lkoons,,3265366.86166464,1429343.94247106,./0.png
"896",Yes,,Gate,4874,Potable,"8","0",No,V629,,Retired,Yes,Yes,"26",,,,,42a57dfb-05e5-44a0-812b-8b8dbd698692,2019/02/13,lkoons,2019/02/13,lkoons,,3265385.77665305,1429350.47789106,./0.png
"897",Yes,,Gate,4846.87,Potable,"8","90",No,V630,,Retired,Yes,Yes,"26",,,,,1de6e617-bc68-4734-ad5b-8669733c8a69,2019/02/13,lkoons,2019/02/13,lkoons,,3265385.98104897,1429303.77522856,./0.png
"898",Yes,,Gate,4846.25,Potable,"2.5","90",No,V631,,Retired,Yes,Yes,"8",,,,,703110cc-13a5-487b-87fc-2e4f34a11b40,2019/02/13,lkoons,2019/02/13,lkoons,,3265403.51480655,1429272.98788856,./0.png
"899",Yes,,Gate,4848.27,Potable,"8","90",No,V632,,Active,Yes,Yes,"26",,,,,59769a8e-2b0c-4273-b280-8c39b789690a,2019/02/13,lkoons,2019/02/13,lkoons,,3265293.70269021,1434609.47721556,./0.png
"900",Yes,,Gate,4839.58,Potable,"2","90",No,V633,,Active,Yes,Yes,"8",,,,,06ed7547-444d-4aa1-b50a-295c9ea4061e,2019/02/13,lkoons,2019/02/13,lkoons,,3260209.28766222,1429286.05085456,./0.png
"901",Yes,,Gate,4848.38,Potable,"2","0",No,V634,,Active,Yes,No,"8",,,,,7d75a357-195f-466b-9fdb-2cdd426297cb,2019/02/13,lkoons,2019/02/13,lkoons,,3260172.4553868,1427978.02558348,./0.png
"902",Yes,,Gate,4845.02,Potable,"8","90",No,V635,,Active,Yes,Yes,"26",,,,,1754067c-6f98-46b4-97ec-34289a97f4cb,2019/02/13,lkoons,2019/02/13,lkoons,,3265381.41740981,1423960.61301464,./0.png
"903",Yes,,Gate,4844.76,Potable,"2","90",No,V636,,Active,Yes,No,"8",,,,,348155cc-7d31-4f70-98f2-c58d9f12c77d,2019/02/13,lkoons,2019/02/13,lkoons,,3265380.03388239,1423963.69010822,./0.png
"904",Yes,,Gate,0,Potable,"2","0",No,V637,,Retired,Yes,No,"8",,,,,dac98d02-b4e8-4500-aa4e-467ffaf0366f,2019/02/13,lkoons,2019/02/13,lkoons,,3265405.58698089,1427422.45812505,./0.png
"905",Yes,,Gate,4846.12,Potable,"8","90",No,V638,,Active,Yes,Yes,"26",,,,,51db2141-0465-4200-a8ce-4a0710411f9e,2019/02/13,lkoons,2019/02/13,lkoons,,3265381.36360414,1424031.82547064,./0.png
"906",Yes,,Gate,4845.82,Potable,"6","0",No,V639,,Active,Yes,Yes,"21",,,,,2ef38658-f135-4af8-a610-2cc9ea88d0d8,2019/02/13,lkoons,2019/02/13,lkoons,,3265382.66215797,1424028.36320722,./0.png
"907",Yes,,Gate,4842.26,Potable,"2","0",No,V640,,Active,Yes,Yes,"8",,,,,f9377c18-b4b3-4715-936c-786bc0415999,2019/02/13,lkoons,2019/02/13,lkoons,,3262077.99258623,1423957.24294265,./0.png
"908",Yes,,Gate,4749.96,Potable,"4","90",No,V641,,Active,Yes,Yes,"15",,,,,e8e9f51d-b012-4526-a7a3-c0a0a34418b7,2019/02/13,lkoons,2019/02/13,lkoons,,3265424.12139264,1418695.10681339,./0.png
"909",Yes,,Gate,4750.3,Potable,"4","90",No,V642,,Active,Yes,Yes,"15",,,,,ca76626c-6036-40c0-9085-b03e86e02664,2019/02/13,lkoons,2019/02/13,lkoons,,3265424.5846463,1418707.68027906,./0.png
"910",Yes,,Gate,0,Potable,"2","90",No,V643,,Retired,Yes,No,"8",,,,,1e4e60bc-8a41-42ee-ac6b-f1abe33f8bc0,2019/02/13,lkoons,2019/02/13,lkoons,,3265433.29230605,1418714.12875697,./0.png
"911",Yes,,Gate,4748.51,Potable,"3","90",No,V644,,Active,Yes,No,"12",,,,,24a5a47a-507d-42e4-ba29-401344707de1,2019/02/13,lkoons,2019/02/13,lkoons,,3265023.41189222,1418688.23445182,./0.png
"912",Yes,,Gate,4789.27,Potable,"4","0",No,V645,,Active,Yes,No,"15",,,,,0b7aff38-26cc-4b31-a275-5d7f6d639d55,2019/02/13,lkoons,2019/02/13,lkoons,,3260258.54839048,1418607.84517689,./0.png
"913",Yes,,Gate,4716.56,Potable,"3","90",No,V646,,Active,Yes,Yes,"10",,,,,35edcb44-4f3b-4ed5-842c-1979ff87f336,2019/02/13,lkoons,2019/02/13,lkoons,,3270730.93328555,1418662.8883739,./0.png
"914",Yes,,Gate,4715.57,Potable,"4","0",No,V647,,Active,Yes,Yes,"15",,,,,db8be5bf-d150-458a-bfe8-776b5da91e38,2019/02/13,lkoons,2019/02/13,lkoons,,3270695.06852789,1418710.62974822,./0.png
"915",Yes,,Gate,4716.92,Potable,"2","90",No,V648,,Active,Yes,Yes,"8",,,,,7f6876fe-9d1e-4939-9457-e43cdbcf3c8d,2019/02/13,lkoons,2019/02/13,lkoons,,3270710.25977047,1418709.90238747,./0.png
"916",Yes,,Gate,4716.1,Potable,"2","0",No,V649,,Active,Yes,Yes,"8",,,,,b5d86100-f76d-4eb5-8c55-703182e0ab8e,2019/02/13,lkoons,2019/02/13,lkoons,,3270847.52557206,1418714.94634065,./0.png
