X,Y,id,enabled,installdat,type,elevation,watertype,diameter,comment,model,status,mfg,surveyelev,globalid,creationda,creator,editdate,editor,icon_url
-104.755540137902,40.5266812719031,ARV62,Yes,,Manual,4893.01,Potable,"2",,,Active,,,39c2063a-1f0e-4979-b3e3-9fa3e8b071b0,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.744736053822,40.5389719522424,ARV63,Yes,,Manual,4865.88,Potable,"20",,,Active,,,11341065-c933-4772-b2d4-aa372e44f06c,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.753343067786,40.5533935016236,ARV64,Yes,,Manual,0,Potable,"1",,,Active,,,d1d4d3b0-f0b6-4d2a-971e-efdeebcb63a5,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.971510380957,40.6243514185471,ARV65,Yes,,Auto,0,Potable,Unknown,,,Active,,,30ebf330-fb98-4528-86c8-0b3c737b9a44,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.946785383922,40.6244134884126,ARV66,Yes,,Auto,0,Potable,Unknown,,,Active,,,0aebbc76-2998-4c6a-a3a5-c645c2093876,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.96303299185,40.62296483989,ARV67,Yes,,Auto,5150.84,Potable,Unknown,,,Active,,,03d34a22-c3c7-4a42-9f8e-d8418e78ec3b,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.963062160364,40.6169012577784,ARV68,Yes,,Auto,5125.44,Potable,Unknown,,,Active,,,aaf87742-4aca-42d8-a9cd-93548022f494,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.714370290652,40.481116956466,ARV69,Yes,,Manual,0,Potable,Unknown,,,Active,,,6c5d06c6-c66a-47ea-a0f6-0b1457cafe96,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.678307835996,40.4787075245587,ARV70,Yes,,Auto,4735.3,Potable,"1",,,Active,,,7230f822-9f89-42f2-b95e-799a1166d402,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.879532082804,40.5156851823531,ARV71,Yes,,Auto,0,Potable,"1",,,Active,,,34cf1d00-ef49-4461-86a5-37a7885de74b,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.70198795104,40.6257542470257,ARV72,Yes,,Manual,5037.47,Potable,"1",,,Active,,,1990c2f4-de31-4ce1-a120-3687cd9eecd8,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.918005227224,40.6394864689046,ARV73,Yes,,Auto,5202.98,Potable,"1",,,Active,,,bcecaaed-08a4-4d99-8d26-47697c30a746,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.914340407642,40.6396350276213,ARV74,Yes,,Auto,5170.99,Potable,"1",,,Active,,,f66b2243-95e4-4662-bace-e9db00c2e801,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
